id|id_campanya|id_tipo|nombre|nombre1|nombre2|cif|comentarios|corriente|contable|diapago|direccion|nombre_pais|nombre_provincia|nombre_poblacion|nombre_codpostal|email|web|tel_fijo|tel_movil|fax
11|5|1|sapien. Nunc pulvinar arcu et|sagittis. Nullam vitae diam. Proin|ac, feugiat non, lobortis quis, pede.|65425031-E|vitae nibh. Donec est mauris, rhoncus id, mollis nec, cursus a, enim. Suspendisse aliquet, sem ut cursus luctus, ipsum leo elementum sem, vitae aliquam eros turpis non enim. Mauris quis turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit enim consequat purus. Maecenas libero est, congue a, aliquet vel, vulputate eu, odio. Phasellus at augue id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris sit amet lorem semper auctor.|5370-1132-03-4789789519|173|13|5007 Risus. Road|Mali|Drenthe|La Puente|92680|eu.tempor@Suspendisseac.ca|http://www.vnehwncjbw.bom|91 942 00 65|654 481 396|91 649 49 17
12|9|1|nec urna suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum|quis, pede. Praesent eu dui. Cum sociis natoque penatibus|a nunc. In at pede. Cras|56066612-E|non enim. Mauris quis turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit enim consequat purus. Maecenas libero est, congue a, aliquet vel, vulputate eu, odio. Phasellus at augue id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris sit amet lorem semper auctor. Mauris|3910-1740-14-2828645373|833|15|Ap #401-2690 Fames St.|Hong Kong|LKS|Miami|47612|consequat@nec.com|http://www.kyvmaouhyh.xom|93 948 35 58|603 380 412|98 171 57 09
13|7|1|ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam auctor,|interdum enim non nisi. Aenean eget metus. In|sem egestas blandit. Nam nulla magna, malesuada vel, convallis in,|03738229-P|Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus sem mollis dui, in sodales elit erat vitae risus. Duis a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus mauris a nunc. In at pede. Cras vulputate velit|6998-8069-53-0505301489|427|22|886 Ullamcorper Avenue|Mali|West Riding of Yorkshire|Dunkirk|29983|porttitor.vulputate.posuere@etmalesuadafames.ca|http://www.fbpzeozgcm.fom|92 992 18 84|627 626 466|94 343 55 95
14|8|1|Integer aliquam adipiscing lacus. Ut nec urna et|amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer|fringilla cursus purus. Nullam scelerisque|91009942-Q|risus. Donec nibh enim, gravida sit amet, dapibus id, blandit at, nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.|3619-0444-09-3678174183|004|5|Ap #316-9594 Laoreet Street|Singapore|New Mexico|Jamestown|0312BQ|ipsum.Suspendisse@luctussitamet.ca|http://www.kpysgfrbyy.nom|98 101 79 63|626 648 702|96 066 42 61
15|5|1|id, ante. Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus|venenatis a, magna. Lorem ipsum dolor sit amet, consectetuer|et, magna. Praesent interdum ligula|90760303-B|arcu ac orci. Ut semper pretium neque. Morbi quis urna. Nunc quis arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate dui, nec tempus mauris erat|9481-1888-31-4572339135|043|21|8193 Sit Ave|Sierra Leone|IL|Vallejo|30754|lorem@massaSuspendisse.edu|http://www.qwkjkddfxq.vom|96 515 74 36|603 910 451|99 150 74 41
16|8|1|aliquam adipiscing lacus. Ut nec urna|sagittis augue, eu tempor erat neque non|Suspendisse aliquet, sem ut cursus luctus, ipsum leo elementum|49713073-M|sed dictum eleifend, nunc risus varius orci, in consequat enim diam vel arcu. Curabitur ut odio vel est tempor bibendum. Donec felis orci, adipiscing non, luctus sit amet, faucibus ut, nulla. Cras eu tellus eu augue porttitor interdum. Sed auctor odio a purus. Duis elementum, dui quis accumsan convallis, ante lectus convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus, in molestie tortor nibh sit|5106-1122-86-6942247018|416|17|824-1910 Dui Ave|Barbados|Co. Kerry|Edina|2664CK|sit.amet@ullamcorper.com|http://www.xowqyruayo.hom|91 975 64 88|680 545 689|99 193 05 26
17|4|1|vel arcu. Curabitur ut odio vel est|a, scelerisque sed, sapien. Nunc pulvinar arcu et pede. Nunc|vehicula risus. Nulla eget metus eu erat semper rutrum.|04669447-N|lobortis risus. In mi pede, nonummy ut, molestie in, tempus eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non dui nec urna suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec, mollis vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed id risus quis diam luctus lobortis. Class aptent taciti sociosqu ad litora torquent per conubia nostra,|0600-5298-34-0099538508|554|6|Ap #266-4400 Faucibus Avenue|New Zealand|SAL|Benton Harbor|CY6Q 2ME|ipsum.Donec@dolordapibusgravida.ca|http://www.yjrpocfypl.mom|91 216 82 55|635 298 611|90 917 84 44
18|0|1|ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam|non arcu. Vivamus sit amet|ad litora torquent per conubia nostra, per|36819472-Z|molestie. Sed id risus quis diam luctus lobortis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo eu arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi enim,|7649-6304-25-8664266308|767|25|Ap #869-1928 Pretium St.|Latvia|Yukon|Chester|V3M 2W0|lacus.varius@elitNullafacilisi.org|http://www.sbdxqzcddc.gom|96 096 10 77|615 957 862|97 642 35 42
19|1|1|nostra, per inceptos hymenaeos. Mauris ut quam|amet orci. Ut sagittis lobortis mauris. Suspendisse aliquet|posuere at, velit. Cras lorem lorem, luctus|54865636-G|Mauris non dui nec urna suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec, mollis|9191-9562-91-6220656109|647|8|Ap #632-6874 A, Road|Algeria|Overijssel|Effingham|N8D 2K7|in@Nuncsollicitudincommodo.ca|http://www.mfwxwlpxgf.dom|99 022 56 51|660 972 355|98 247 76 56
20|6|1|arcu. Curabitur ut odio vel est|enim diam vel arcu. Curabitur ut|consequat nec, mollis vitae, posuere at, velit. Cras|57503010-D|ac mi eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris ipsum porta elit, a feugiat tellus lorem eu metus. In lorem.|3548-3630-40-6056299651|136|7|784-9149 Arcu Ave|Luxembourg|Zld.|Bessemer|D1T 4B6|hendrerit@duinecurna.ca|http://www.nlpgvjeiym.kom|99 676 12 76|638 611 682|92 641 18 74
21|7|1|a, malesuada id, erat. Etiam vestibulum massa rutrum|facilisis vitae, orci. Phasellus dapibus|Ut tincidunt vehicula risus. Nulla eget metus|61674348-F|ac, feugiat non, lobortis quis, pede. Suspendisse dui. Fusce diam nunc, ullamcorper eu, euismod ac, fermentum|3776-0401-59-9960561601|318|4|Ap #471-4105 Non St.|Mongolia|HAM|Casper|D9P 6PT|Cras@velfaucibusid.ca|http://www.ttlygvjwfd.gom|93 559 91 03|661 228 902|95 983 65 76
22|9|1|nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc commodo|fringilla. Donec feugiat metus sit amet ante. Vivamus non lorem|eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed|64166293-K|facilisis, magna tellus faucibus leo, in lobortis tellus justo sit amet nulla. Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis cursus, diam at pretium aliquet, metus urna convallis erat,|2165-7530-29-8875843935|687|7|P.O. Box 800, 3393 Luctus Avenue|Italy|Dr.|Sandpoint|Q2S 5O0|ipsum.Curabitur@semperrutrum.org|http://www.ihdglypxif.nom|93 379 81 72|633 308 912|98 725 15 63
23|0|1|et nunc. Quisque ornare tortor at risus. Nunc ac sem|elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non|luctus lobortis. Class aptent taciti sociosqu ad|51143866-F|semper pretium neque. Morbi quis urna. Nunc quis arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula.|0993-7762-81-9225214457|079|12|P.O. Box 719, 327 Purus Av.|Antarctica|AL|Utica|13535|porta@diam.ca|http://www.trgtmilmix.qom|92 299 39 92|619 354 704|96 124 88 76
24|3|1|netus et malesuada fames ac|dolor sit amet, consectetuer adipiscing elit. Curabitur|ornare placerat, orci lacus vestibulum lorem, sit|24653685-O|tempor diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est mauris, rhoncus id, mollis nec, cursus a, enim. Suspendisse aliquet, sem ut cursus luctus, ipsum leo elementum sem,|9924-6360-25-7888071018|255|24|Ap #574-7121 Hendrerit St.|Togo|LAN|Little Falls|3213ZI|Aenean.massa@ante.org|http://www.rnrvefobwg.yom|97 449 29 45|638 742 786|98 935 68 25
25|0|1|egestas. Aliquam nec enim. Nunc|Quisque porttitor eros nec tellus. Nunc|quis diam. Pellentesque habitant morbi|74094548-L|lectus justo eu arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi enim, condimentum eget, volutpat ornare,|7914-8084-76-6271384684|335|7|Ap #699-5658 Eu St.|Tuvalu|Newfoundland and Labrador|Vail|19847|ipsum@nonummyultricies.com|http://www.zjqvljmagm.jom|91 508 76 96|697 786 269|93 377 21 41
26|6|1|bibendum ullamcorper. Duis cursus, diam at pretium aliquet,|mollis. Integer tincidunt aliquam arcu.|mi pede, nonummy ut, molestie in, tempus eu, ligula. Aenean|60037096-V|nibh enim, gravida sit amet, dapibus id, blandit at, nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas nunc sed libero. Proin sed turpis nec mauris blandit mattis. Cras eget nisi dictum augue malesuada|4024-3521-74-6993564656|267|16|975-6015 Dis Ave|Cyprus|South Dakota|Aliso Viejo|9284VG|feugiat@justoeuarcu.ca|http://www.qwilihaouc.wom|95 647 42 76|666 841 672|90 650 23 37
27|7|1|inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare.|ut aliquam iaculis, lacus pede sagittis augue,|sit amet, consectetuer adipiscing elit.|45797464-D|a feugiat tellus lorem eu metus. In lorem. Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis augue, eu tempor erat neque non quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada vel, convallis in,|2154-2203-53-7204939849|296|8|880 Et St.|Eritrea|Yukon|Clovis|9443LV|molestie@enim.org|http://www.evuwyryfbw.tom|96 384 18 63|635 888 361|95 931 01 99
28|0|1|nec, mollis vitae, posuere at, velit. Cras lorem lorem, luctus|nulla. In tincidunt congue turpis. In condimentum. Donec|placerat, augue. Sed molestie. Sed|18627360-W|tellus lorem eu metus. In lorem. Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis augue, eu tempor erat neque non quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada vel, convallis in, cursus et,|7858-3415-42-4430257959|136|10|1609 Odio. Avenue|Somalia|Humberside|Commerce|68171|massa.Suspendisse.eleifend@tellus.com|http://www.fsaovznzuz.zom|93 257 94 31|691 773 490|98 032 20 28
29|10|1|tempor lorem, eget mollis lectus pede et|rhoncus. Nullam velit dui, semper|sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque|53158567-S|nascetur ridiculus mus. Proin vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas nunc sed libero. Proin sed|0841-7459-76-2555946230|872|12|P.O. Box 391, 4601 Magna Ave|Japan|NS|Malibu|0480WM|est@enimMauris.ca|http://www.tolnptzaqm.kom|99 147 34 21|683 573 426|96 774 43 90
30|10|1|vel, mauris. Integer sem elit, pharetra ut, pharetra sed, hendrerit|augue porttitor interdum. Sed auctor odio|vitae, posuere at, velit. Cras lorem|57992110-N|est arcu ac orci. Ut semper pretium neque. Morbi quis urna. Nunc quis arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate dui, nec tempus mauris erat|8195-8633-16-2159152685|254|5|839-1797 Etiam Rd.|Antarctica|Noord Brabant|Hampton|O0N 7PU|tellus@justo.edu|http://www.tsvkzqoafq.hom|97 128 06 25|628 575 158|96 846 51 49
31|1|1|odio sagittis semper. Nam tempor diam dictum sapien.|nulla at sem molestie sodales. Mauris|nec urna et arcu imperdiet ullamcorper. Duis|36932184-Z|Aliquam adipiscing lobortis risus. In mi pede, nonummy ut, molestie in, tempus eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non dui nec urna suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere|5573-2578-08-3094617747|116|13|902-8021 Aliquet Av.|Pitcairn|Zuid Holland|Kingsport|N21 1KY|et.risus.Quisque@sitametconsectetuer.edu|http://www.jllftialli.tom|92 926 46 07|645 067 456|93 263 60 78
32|8|1|ornare. Fusce mollis. Duis sit amet diam eu dolor egestas|Nulla tempor augue ac ipsum. Phasellus vitae mauris|vulputate velit eu sem. Pellentesque ut ipsum ac mi eleifend|12459523-C|Morbi accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi sem semper erat, in consectetuer ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor|8744-0703-41-1292118316|530|3|602-6930 Lorem, Rd.|Puerto Rico|Wisconsin|Calumet City|49251|Nunc@id.com|http://www.owoulzjdrv.rom|91 756 55 46|654 057 668|95 850 44 62
33|9|1|pulvinar arcu et pede. Nunc sed orci lobortis|eleifend, nunc risus varius orci, in|lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend.|22077433-Y|nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus. Quisque libero lacus, varius et, euismod et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi sem semper erat, in consectetuer ipsum nunc id enim.|6054-6406-85-2048641015|335|2|558-9608 Quis St.|Switzerland|NU|Downey|IB3 9NM|parturient@est.edu|http://www.plfqxtptdf.rom|91 225 44 70|690 130 771|93 854 49 60
34|9|1|Etiam imperdiet dictum magna. Ut tincidunt orci quis lectus.|Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate,|neque pellentesque massa lobortis ultrices. Vivamus|14269978-B|mollis nec, cursus a, enim. Suspendisse aliquet, sem ut cursus luctus, ipsum leo elementum sem, vitae aliquam eros turpis non enim. Mauris quis turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit enim consequat purus. Maecenas libero est, congue a, aliquet vel, vulputate eu, odio. Phasellus at augue id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris sit amet lorem semper auctor.|0591-9774-26-1355911838|080|18|640-477 Vulputate Avenue|Colombia|British Columbia|Plattsburgh|0189HA|Aenean.sed.pede@cursuspurusNullam.com|http://www.vmgvuwwapz.vom|93 357 37 40|605 294 593|91 716 66 94
35|5|1|Sed auctor odio a purus. Duis elementum,|vitae, sodales at, velit. Pellentesque ultricies dignissim|vestibulum lorem, sit amet ultricies sem|67405906-L|ante bibendum ullamcorper. Duis cursus, diam at pretium aliquet, metus urna convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer|9762-9345-00-5552896123|807|25|2474 Etiam Ave|Cayman Islands|TX|Hope|93412|lorem.eu@natoquepenatibus.edu|http://www.hrydhqbnve.kom|99 082 87 02|659 193 327|91 633 90 21
36|3|1|lorem. Donec elementum, lorem ut|ultrices a, auctor non, feugiat nec, diam. Duis mi|bibendum ullamcorper. Duis cursus, diam at|30827943-V|sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel arcu eu odio tristique pharetra. Quisque ac libero nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus. Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem, auctor quis, tristique|1958-1224-13-7265442769|077|9|8589 Et, Ave|Mayotte|WY|Valdosta|Q4W 2V3|nunc.sed@non.org|http://www.tfxgyrdmbi.gom|93 088 07 72|693 675 410|90 156 87 51
